EmpId,EmpCounty
1000,Kuwait
1001,Thailand
1002,Japan
1003,Bosnia And Herzegowina
1004,Belgium
1005,Kuwait
1006,Saint Kitts And Nevis
1007,Bahrain
1008,Eritrea
1009,Suriname
1010,Guinea-bissau
1011,Niger
1012,Colombia
1013,Sao Tome
1014,Israel
1015,South Africa
1016,Czech Republic
1017,Morocco
1018,Belarus
1019,Mayotte
1020,Panama
1021,Czech Republic
1022,Costa Rica
1023,Micronesia
1024,Sweden
1025,Togo
1026,St. Helena
1027,Anguilla
1028,Ecuador
1029,Cote D`ivoire
1030,Samoa
1031,Niue
1032,Norway
1033,Montserrat
1034,American Samoa
1035,Cayman Islands
1036,East Timor
1037,Suriname
1038,Central African Rep
1039,Latvia
1040,Nepal
1041,Latvia
1042,Puerto Rico
1043,Kiribati
1044,Dominica
1045,Turkey
1046,Germany
1047,Anguilla
1048,Guinea-bissau
1049,Macedonia
1050,Paraguay
1051,Turkmenistan
1052,Syrian Arab Republic
1053,Morocco
1054,Monaco
1055,Burundi
1056,Ethiopia
1057,Togo
1058,Turkey
1059,Malta
1060,Guam
1061,Luxembourg
1062,Romania
1063,Bosnia And Herzegowina
1064,Iceland
1065,Mayotte
1066,Cocos Islands
1067,Antigua And Barbuda
1068,Saint Kitts And Nevis
1069,Cayman Islands
1070,Guadeloupe
1071,Malaysia
1072,Morocco
1073,Kenya
1074,Tokelau
1075,Somalia
1076,Laos
1077,Eritrea
1078,Papua New Guinea
1079,Cocos Islands
1080,Norfolk Island
1081,Bangladesh
1082,Martinique
1083,Madagascar
1084,Somalia
1085,Belarus
1086,Chile
1087,Comoros
1088,Micronesia
1089,Sri Lanka
1090,Jamaica
1091,France
1092,Niue
1093,Montserrat
1094,Puerto Rico
1095,Brazil
1096,Lesotho
1097,Kiribati
1098,Gabon
1099,Ecuador
1100,Poland
1101,Jamaica
1102,Uganda
1103,St Vincent/Grenadines
1104,Guyana
1105,France
1106,Saint Kitts And Nevis
1107,Mauritius
